id,0,1,2,t
4,4.36958053,-0.57561435,-17.81214371,1
7,7.231742266,-0.824639158,-2.79006743,1
11,3.460585085,0.997197952,-7.866532961,1
15,7.143948082,-1.545710564,-11.92967888,1
23,1.886841888,0.921524962,5.188079211,1
24,4.746385497,-0.346853867,4.4047422,1
28,4.134949669,0.206317741,9.570301415,1
29,1.989231686,-0.086820359,-10.61924094,1
36,4.595123399,-0.886913501,-12.71213869,1
37,0.404664987,-0.381278116,-6.630980373,1
39,6.241546703,0.627767415,1.63040057,1
43,5.540387468,1.587281884,5.294679674,1
45,3.370784811,1.069296925,-15.89600079,1
49,3.898918199,0.162422211,11.20293224,1
52,7.559409185,-0.405790196,3.553272974,1
56,5.587560469,-1.818904513,-9.526119477,1
62,5.818679022,-0.181763993,5.273583336,1
73,1.647880962,-0.130014687,10.18683457,1
76,7.012898987,-0.943231735,4.13891042,1
77,4.908492623,-0.369021204,2.599415864,1
78,9.848088699,-0.026478413,7.816709346,1
79,5.323926615,1.557469211,-5.975882804,1
87,2.268774855,-0.936407007,4.514926018,1
89,0.406513448,0.899803014,2.355999153,1
96,6.235879849,0.87524414,5.851229763,1
97,6.853517254,-0.690143275,3.117870418,1
100,2.927983622,-0.205134813,3.645418636,1
102,2.018822397,0.676009023,7.265415626,1
107,5.948826182,-0.697163602,1.477834083,1
108,7.970460105,0.820951094,8.892492805,1
110,5.559414016,1.171739384,4.040387293,1
111,2.169474843,-0.683273403,1.964431021,1
114,2.380592375,-0.794747122,2.923068607,1
120,4.973035743,-0.278113276,-6.21417473,1
123,4.253748016,-0.852694037,-7.983105924,1
129,4.133918978,0.545389113,-1.852976923,1
130,4.346763057,0.620395015,-8.82886862,1
139,1.141780673,-2.361931557,-7.438643547,1
141,6.357765782,2.25042499,5.689602759,1
151,4.729605754,-1.211678195,-6.490955671,1
152,2.750023279,0.806845673,10.57615671,1
155,6.736414265,-0.766109981,-1.279854039,1
157,5.943267499,-0.87194903,-12.13163598,1
158,3.497949737,-0.61795227,-7.434844779,1
164,4.699155492,0.964049065,-3.489216543,1
170,2.171766682,-0.296231032,-2.088246832,1
172,4.534188036,1.351233544,7.573095786,1
175,2.582818389,-0.258806998,2.767907125,1
192,7.98277756,0.102259048,-1.105685985,1
193,6.888748533,1.384224126,5.769330902,1
198,3.324966455,0.385856708,1.406943498,1
205,11.44591731,-0.562040328,10.38464778,1
213,6.999644319,1.308085534,2.755799879,1
214,11.65081942,-0.780714024,12.85519874,1
215,11.49603379,-0.320966154,-1.514601577,1
217,12.23315991,0.865901293,0.830592164,1
218,11.53752065,0.340090467,0.715976516,1
219,13.6805435,-0.028989943,5.289500312,1
221,12.54170193,-1.297544596,-14.02090789,1
222,11.35931314,1.209033521,-5.959315407,1
228,14.54707919,0.37379148,-0.902010937,1
235,9.638241572,-0.880658734,1.297477366,1
237,9.353292627,0.786810867,-3.949756597,1
238,8.562190723,0.739054864,0.776416677,1
243,9.573615154,1.08903911,9.765047891,1
244,9.433172783,-0.020684865,0.219127433,1
245,13.87204009,1.309061213,-8.513095568,1
247,8.24222753,-1.66850315,0.16066378,1
248,14.30594816,0.26440746,11.68888883,1
254,13.19432713,-0.502721757,-7.968056018,1
266,9.357254619,-0.870315699,-2.646804747,1
268,9.704567813,0.896424822,4.858513958,1
269,12.25951377,0.403681376,3.950095106,1
275,9.079653518,-3.411515055,1.483010707,1
278,9.964606667,-1.055082413,-0.532963988,1
284,6.543965203,-0.655276149,-4.488072497,1
288,9.723882499,0.4247776,-2.368755863,1
294,7.387765056,-1.922122067,9.652413421,1
297,9.505584398,-0.879663355,-5.48252091,1
298,9.129838433,-0.546834843,1.99580727,1
299,9.719991669,-0.564825411,-5.442117661,1
304,9.659584835,1.442492094,-7.530684118,1
305,9.340734822,-0.415552434,2.544280891,1
307,11.32307145,3.143220508,-0.989323069,1
325,14.31296108,-0.187810745,-0.677503824,1
327,13.94317046,1.041361857,-3.600651624,1
330,14.09072175,1.441115712,-1.381868314,1
332,9.996040136,0.408415058,-11.21508699,1
338,8.304001946,-0.016287258,1.639802124,1
340,9.585767587,-0.311345648,-3.431491684,1
347,10.97852977,-1.34109774,12.62546494,1
352,10.0235227,-2.877474986,1.706634849,1
360,5.367194919,-0.109272744,13.62414994,1
365,10.2314175,0.330573809,-0.94892898,1
371,9.905548443,-1.885425629,-1.374811444,1
373,10.30481816,1.913512131,-15.72802368,1
