,0,1,2,t
2,6.081681460294279,0.08999686637905506,-6.680624682957948,1
10,4.591436990683126,-0.07308646064659612,0.6325767595835182,1
14,5.843147063843593,0.7317585465491961,-1.3059676300314744,1
17,7.351260201999875,0.533444562075036,2.0690055557708593,1
19,5.476915347123577,-0.506693096536264,-11.160596047164365,1
24,5.067262381433456,0.35697517512750915,1.9593302580966163,1
32,4.649444219094148,0.035761197239573814,-14.362607860838212,1
34,6.802251315491723,-0.08334523171699824,-5.239886826467542,1
45,2.7456465343745924,-0.06947233503099547,-9.862441355578252,1
51,5.522897082089516,1.2776811513944637,-2.016350386324066,1
56,5.464472191120402,-1.3376347226147727,-4.745167499995738,1
63,8.762756805350202,-0.6035943276718964,-9.400566882665547,1
67,3.5127370445869897,0.6959704911028377,2.258308026883676,1
75,3.7414262054391014,0.6195620701172346,-3.5869503450615783,1
77,0.2814910912707438,-0.8091446297713798,0.7555966742502567,1
79,6.739766391098969,-0.7203430559520524,2.2002814786874136,1
87,5.46708762745974,0.6302151588485094,-7.723097586264948,1
88,4.556117043389016,1.1951703078434774,11.819995324487612,1
90,7.279846561622088,-0.2915274363026461,7.133032300335784,1
91,8.941459140739752,-0.870076790253197,4.306727961346498,1
104,7.864978503025621,-0.8723530658353588,-3.163840161601067,1
110,4.433053187810234,0.16958468093134174,-5.308087671276181,1
112,5.354862592049285,-0.18719558185271964,4.94989014045069,1
114,5.508075600020718,0.23696520586630898,-5.164051315488631,1
120,4.099383728651,0.49966575837567645,5.548568073644528,1
124,5.229925858230822,-0.19824691091773347,-1.2711790557711544,1
131,5.157262739100211,-0.15996257909017053,0.4556564708569977,1
134,2.348960290553306,-0.8974078629768134,-1.4349555637455027,1
139,5.606163160810598,0.043912830067206726,-3.324724450690882,1
141,5.618351346408069,0.2087784619191252,-7.0785870420866255,1
143,3.326434016057731,0.1432874811305623,-4.642420781036449,1
148,5.078164626548335,0.04203248012963698,13.74048464118089,1
152,7.38438170078437,-0.05716962683409655,7.296492277081074,1
153,3.467451153088244,0.24689423919213058,2.897714202998046,1
161,5.978281695513724,-0.6030298208006349,0.7648352990934645,1
162,3.293673637068128,-0.050930257864234406,0.3787004083700048,1
163,5.359089666726659,-0.6829280982868122,-9.96676597519352,1
174,0.9725858829251477,0.14109059596668455,-7.887175842664351,1
175,3.9314264767186082,-0.5041287556186579,4.411334864661521,1
181,3.845510028828204,-0.6176012934738585,-3.604076989783973,1
189,4.168422067118326,0.22034869710411537,-18.984700218812293,1
197,5.8544377393481275,0.13636815404731,5.381157687846742,1
199,6.275168794714979,-0.08150778275525146,6.505219072159538,1
200,9.200134097245705,0.4875342740733895,-12.21443669015178,1
206,8.936862795278941,-1.1411932006951566,-3.875254965381352,1
212,10.666178375095955,0.04067709114873086,1.9061720195972462,1
220,8.906232338951144,0.0781485528365731,-0.14932489876837968,1
221,15.277459257323258,-0.21412536299942125,3.205217470228509,1
224,11.238214995386613,-0.802261627790422,-2.7685319670333723,1
225,11.80041507206446,-1.4584493002477872,1.1948289261177352,1
231,13.45695965551328,-0.6115539337542222,-9.268217976643434,1
233,13.20699047030342,-0.013720329069854511,3.5993038063498592,1
245,10.2622877385641,-0.3693716274516114,-10.14422029736992,1
246,9.746948333761257,0.9854415351296695,6.216048082989831,1
249,11.00388978386017,0.34181288841320456,-3.530700139935336,1
250,12.267739607763893,-0.7620673240308649,-5.456340258735725,1
255,11.75304444648875,-0.1528978077205132,12.949217866175506,1
261,10.429541485736207,-0.01621946146403384,6.871051087641904,1
262,10.278135522913193,-0.7777760444701319,5.3255100886619156,1
263,8.030305647351097,0.6591876848390086,4.2376618810164475,1
267,10.951730545501256,-0.12075443302607637,9.77353334525174,1
270,8.98155847693795,-0.31860898827777434,2.604947647344621,1
278,10.139386863049682,0.25075084837917605,-6.816086283500292,1
281,6.338900553962623,0.30272285349645606,10.456264880150771,1
282,7.770362720902519,0.13855269253753924,-11.527796222192425,1
285,14.360088195977642,-0.1262541704701447,-11.416668651917814,1
287,11.501880255292503,0.31849137435380614,5.264891163646372,1
299,11.265253137198647,0.48541465238771114,-0.7056475677673486,1
300,13.419299525766654,0.09333187553657976,3.4004664100429096,1
301,9.388296096704332,-0.5356497457418018,0.9869747156474029,1
309,10.334582573988959,-0.3124549955448657,2.023404226140864,1
311,12.902140526354186,0.10454604648221398,2.6086948150212765,1
332,12.616165419326174,0.4960594125254273,4.045573864241623,1
333,7.0275222361461,-0.6261416416907182,7.734780893615761,1
334,13.82901459960385,0.02958752805172002,11.216977160122312,1
335,6.303243662715042,0.6811828827391045,4.052222209371378,1
336,10.216637289893937,-0.3640199727521562,3.0050991297189014,1
351,8.63932640381577,-0.1179278804971487,-16.106983202950246,1
