,0,1,2,t,label
0,7.6115733972661275,-0.5984928121458853,-2.919195407743142,1,0
7,5.641944938294785,-0.4915219685245076,-2.036583855695712,1,0
23,1.2295948547653825,1.1616709388225708,0.05093275803951754,1,0
24,2.529934763100165,-0.09064274952020752,0.6053525120036249,1,0
27,9.107356082439914,0.33134596741778377,-1.064864959950101,1,0
30,9.384737582645528,0.03747355231666983,4.569424984623077,1,0
32,9.792622297475589,0.4247008484642134,4.650175898694684,1,0
35,5.5329761973841585,0.06299012766337642,-2.119709970286367,1,0
38,6.840027322522942,-1.0356994879074315,-5.098637682200914,1,0
46,2.9672522511933526,0.6933916129221559,3.1802298641027713,1,0
50,4.13375557677899,0.06549511764626349,2.126010299303506,1,0
51,4.696037637955526,0.21624856072762733,0.5917323822786326,1,0
52,6.154987493255715,1.0389270111695927,6.268113675620842,1,0
54,3.2125654628378255,0.4562733135073781,-1.4047219470607948,1,0
56,6.448987419694874,0.7597085898181393,-2.2765155748265413,1,0
57,6.5848493746994095,-0.12851423176935597,-0.22722461418456957,1,0
58,6.837656795033387,-0.7997583742385191,0.398839217178526,1,0
61,2.3361240552244524,-0.2938266975346141,1.5541793809554942,1,0
62,6.392291773423201,0.11187469954098828,3.4207868653100335,1,0
69,1.755975353323186,-0.46298948157432124,2.9739749306930303,1,0
73,5.281980516255399,1.238700312719406,3.3476072114704505,1,0
79,2.8724959220078876,-0.43886880863535277,1.4871453412688977,1,0
83,4.93342682412815,-0.8583470945596423,0.6964806081891994,1,0
93,4.141868442681451,-0.26353419984032667,-2.721110663972348,1,0
99,4.31268019507865,0.2214814181142401,-6.085918145655775,1,0
100,5.295483662739972,0.10320277039603132,-3.857214137101526,1,0
104,8.398487420609575,-0.7939486205360912,0.5665609038661135,1,0
106,6.145220931534214,-0.5938874444120606,-4.704280307765061,1,0
134,6.797679717717169,-1.1970325485052418,-2.3078874572136248,1,0
140,5.84012154133368,0.24824838744253455,-4.072303431449783,1,0
142,6.354416521923387,-0.26794363705606256,-3.078772703706942,1,0
145,1.8996354453067763,-0.23341607358756827,-3.0356830067771283,1,0
150,4.740258487358201,-0.718402658441239,0.7514602925536636,1,0
155,3.8178105765981183,2.119984357842579,0.5728026324558915,1,0
157,5.637039517818975,-0.8621394019547809,2.42154358012024,1,0
166,6.233988241217844,0.402977685421709,3.77597828987473,1,0
171,3.187321523160825,-0.5027778555742969,2.4932661032604915,1,0
173,7.807887843724634,-0.752356747195532,-1.0931280421261236,1,0
179,5.734766505243046,1.0924337048470976,-5.849164292070168,1,0
189,3.814671546210244,0.3656130027973091,-1.6178753777750747,1,0
194,3.9671534914920565,-1.308107245098992,0.25504075445269925,1,0
196,5.424645289403142,-0.17829133813560555,3.29080777171827,1,0
203,11.164775000649893,-0.11065341680187446,-4.15182777522876,1,1
208,10.590432626355824,-0.665073924657745,2.519008790655968,1,1
216,6.767518172163369,0.18757434806841033,-1.7472966200901547,1,1
219,7.76267332127583,1.821899016709838,-4.38701828074546,1,1
225,7.987493441029504,0.4669205403417541,-2.7358745194789247,1,1
233,8.103617994563987,0.8697184134357695,-1.47745620829481,1,1
238,5.929319731796897,0.12625269509050654,3.8510507340901667,1,1
242,7.716924703210102,0.5544938589212874,-1.4506809761892385,1,1
244,11.76598582870956,-0.5031067718819668,1.7256042371794529,1,1
246,7.622432868132774,0.3043469104054981,-5.4503238442863,1,1
247,7.724265847097785,-0.039573303013328134,-1.6452894155034143,1,1
248,13.868132580737734,-1.0627619485782354,-3.7890985134049133,1,1
257,10.475290458288086,-0.44173039756374494,-4.702437793088964,1,1
273,10.869201421397603,-0.1501068971144105,0.4763331936121395,1,1
277,9.536902851032659,0.5568601735655941,-3.0789566603391796,1,1
279,10.330829162814794,0.6107957379763169,-5.477682206215699,1,1
289,14.135870519742575,0.2544106634736514,-0.08254623163307755,1,1
292,11.972961147089896,0.31090648613172905,-0.6220233840869122,1,1
293,10.774597521468296,0.2960220788605307,5.386621404832895,1,1
296,9.030240674180591,-0.5142199847513826,-0.20605060695569608,1,1
300,10.914361651302977,0.21590653574954646,1.900938664727989,1,1
302,10.946241821543225,-0.7735200638746619,-1.2683671447880738,1,1
304,7.301659904486911,0.016157141892515714,1.9281884983951951,1,1
307,11.613968759476947,-0.9404627786598175,-4.7450626950978885,1,1
317,12.040947722045537,-1.1532279429589096,6.085248464824161,1,1
318,11.413551557959499,-0.47538374419799845,-4.269148752514748,1,1
321,11.779212263267262,-1.1928706806050013,2.827041972407682,1,1
322,7.9003773903234755,0.715702077127584,1.3062518693956953,1,1
323,12.267530923946039,-0.21954401497292075,-2.9642949900600915,1,1
326,9.217691879791529,-0.06098717014363551,-1.596942294746175,1,1
328,11.028023352179426,-0.42865313725251036,-3.5165031004080523,1,1
332,13.228732779636722,-0.09726276355270047,0.6994311951230051,1,1
334,10.210366524783693,-1.3753037954129272,-0.1778814462548884,1,1
356,10.620652143236502,-1.2029789105894146,-6.521059935405576,1,1
359,10.921728395495611,0.058921532516904664,-3.846015218247034,1,1
381,9.477235701243151,0.15249167261300225,1.0471926078855132,1,1
382,12.574037269388562,0.28890298828638805,-0.030832073652212143,1,1
388,7.307488361707954,1.1544846222432255,0.19140052949217756,1,1
392,7.934862310684181,-0.7708777734234472,-3.0106546769740503,1,1
415,18.15847664114109,-1.541224813477626,3.91911255267023,1,2
418,11.081317679234969,0.03024188522799904,-4.145733778725787,1,2
419,9.004194332975725,-0.6242807350113795,5.040041867532434,1,2
427,16.990337922983045,-0.4456261694736394,2.8069106552406224,1,2
428,12.048624581777746,0.3743606565395153,1.0989556003523806,1,2
429,17.018861962185756,0.3241881904711579,-4.276704076656367,1,2
430,14.3948469346769,1.341071906922721,5.606884508600444,1,2
433,12.626482480681457,1.7952898083520092,-2.284301978772972,1,2
441,19.27807215813621,-0.32985660978191456,6.410213347929337,1,2
445,17.425533652255517,1.4882096339477795,3.605563306006066,1,2
449,13.0400914152693,-0.1694609784580642,5.901501824753336,1,2
450,14.78100203777968,-0.5396270281063755,0.013617311415570063,1,2
459,16.01981334463011,1.1000617634900083,-6.244400007964461,1,2
467,13.990037071041083,-0.7394431236257335,1.0820327779223207,1,2
471,12.641516669055234,0.8938019596219696,2.000673979297512,1,2
472,16.062553517352733,0.3731683938797997,0.9486733721580447,1,2
