,i,j,dist
0,0,1,9.800743597654414
1,0,2,21.16347087118441
2,0,3,3.506189218796509
3,0,4,4.526514300883429
4,0,5,2.102990396187473
5,0,6,5.369750403629305
6,0,7,10.437974078612672
7,0,8,1.2553245708442602
8,0,9,3.5134500158559616
9,0,10,15.53964464739098
10,0,11,5.584017390070775
11,0,12,97.3159111640708
12,0,13,2.691148730309761
13,0,14,10.863760885191436
14,0,15,3.7998135026377557
15,0,16,45.75959163816712
16,0,17,19.59860142477242
17,0,18,14.074202521358416
18,0,19,0.7449379866200603
19,0,20,1.3078191799568712
20,0,21,15.678420184108564
21,0,22,12.803375276418045
22,0,23,4.186293016870195
23,0,24,43.72259530147059
24,0,25,5.9703617322751406
25,0,26,0.9830880727975587
26,0,27,5.847264209341398
27,0,28,12.56824371125969
28,0,29,3.41558878851106
29,0,30,35.05267922524391
30,0,31,2.279813618843131
31,0,32,0.8152621684493128
32,0,33,11.31493232104594
33,0,34,16.794487630930597
34,0,35,3.2391850353733487
35,0,36,1.2314845070798455
36,0,37,9.68785426170228
37,0,38,1.385137937396217
38,0,39,1.8755830352296976
39,0,40,2.646648770293325
40,0,41,6.374728033848368
41,0,42,5.204368854992073
42,0,43,21.91847875783699
43,0,44,4.643882865706314
44,0,45,18.93636007131114
45,0,46,7.376305935015633
46,0,47,22.768301861178625
47,0,48,6.5535364196354315
48,0,49,4.006913410398687
49,0,50,1.3632651845924217
50,0,51,5.959227582507239
51,0,52,7.576262113830892
52,0,53,20.170518572595572
53,0,54,150.7204919820354
54,0,55,5.631637957278337
55,0,56,232.23706472791855
56,0,57,281.2520294676128
57,0,58,178.09731010644444
58,0,59,223.8704562841096
59,0,60,26.658422281798853
60,0,61,119.89147501142185
61,0,62,344.3644431412948
62,0,63,175.01510085527408
63,0,64,43.470464787362516
64,0,65,197.83381684170882
65,0,66,197.03500109315647
66,0,67,156.83131348650306
67,0,68,223.72844504386376
68,0,69,121.29989787410604
69,0,70,47.010351711384644
70,0,71,44.802295214254045
71,0,72,153.5438301855945
72,0,73,66.39827125161972
73,0,74,62.96032689875851
74,0,75,92.2608997484734
75,0,76,182.31021308214383
76,0,77,271.94235777118786
77,0,78,130.46056395893066
78,0,79,69.83819030480254
79,0,80,199.41360831993757
80,0,81,56.865596720256754
81,0,82,222.5804733667673
82,0,83,125.98728355670445
83,0,84,104.77010759666094
84,0,85,116.52869601320776
85,0,86,169.71837159230878
86,0,87,168.90833522326528
87,0,88,98.68246086189788
88,0,89,146.0847345689199
89,0,90,129.11239979076782
90,0,91,223.23498304328996
91,0,92,73.59700073858983
92,0,93,281.86372437657747
93,0,94,178.3779951793391
94,0,95,177.21350384042466
95,0,96,117.94388674483093
96,0,97,101.55059478218207
97,0,98,154.0148384406078
98,0,99,255.12397440002295
99,0,100,119.19198459616308
100,0,101,207.2264556192576
101,0,102,211.2267159615564
102,0,103,207.34431148050422
103,0,104,132.43512098821552
104,0,105,137.5124315010592
105,0,106,181.48399071727653
106,0,107,147.6439227249063
107,0,108,137.17670168462988
108,0,109,202.98015647161697
109,0,110,75.64151777384852
110,0,111,170.94842432874603
111,0,112,238.1413374612469
112,0,113,158.7566296003886
113,0,114,345.92897497112125
114,0,115,122.18927601765091
115,0,116,109.16116034334517
116,0,117,125.91659719480914
117,0,118,184.99462402861542
118,0,119,356.39879584316435
119,0,120,322.8152360682662
120,0,121,174.7526633950922
121,0,122,130.9922453646709
122,0,123,156.6872217105947
123,0,124,194.47744123842045
124,0,125,226.9288247617098
125,0,126,136.06710710983248
126,0,127,221.31908994002623
127,0,128,333.2648870274479
128,0,129,215.91960734303976
129,0,130,47.08670889746553
130,0,131,142.14605460690186
131,0,132,43.5208918756503
132,0,133,178.35580635486636
133,0,134,165.38360650214182
134,0,135,141.35780368070814
135,0,136,79.17391252069696
136,0,137,544.0475926521156
137,0,138,695.195904635138
138,0,139,533.828815261596
139,0,140,671.4018807252093
140,0,141,363.8398404767168
141,0,142,313.81960804272535
142,0,143,249.13805506245006
143,0,144,431.6439478842981
144,0,145,671.7526300403181
145,0,146,463.2433578449317
146,0,147,424.3892028398887
147,0,148,341.0366008232113
148,0,149,456.09089745903617
149,0,150,413.9799235420445
150,0,151,255.02181004135463
151,0,152,390.3064505643265
152,0,153,349.16519188323934
153,0,154,285.3936353354784
154,0,155,558.9281657061069
155,0,156,449.2778499568007
156,0,157,296.4960390767445
157,0,158,482.6256634578608
158,0,159,524.5417243611631
159,0,160,386.14473138671974
160,0,161,363.4224291649849
161,0,162,502.58678603046843
162,0,163,774.7695807006266
163,0,164,219.5177760000491
164,0,165,427.5316536122102
165,0,166,430.5982267122431
166,0,167,544.6835074858991
167,0,168,561.809534531998
168,0,169,381.24730135189003
169,0,170,456.7328952476747
170,0,171,463.8542706769893
171,0,172,456.23258148019704
172,0,173,484.0302410897781
173,0,174,722.0268217566447
174,0,175,615.4447200529505
175,0,176,375.6460978905751
176,0,177,771.2131213218779
177,0,178,768.1737647969601
178,0,179,1120.6452107315174
179,0,180,687.6256500819361
180,0,181,1272.7537890267226
181,0,182,804.1443046480101
182,0,183,621.0218101156881
183,0,184,865.4075345254385
184,0,185,1068.1914606638543
185,0,186,814.2469558253688
186,0,187,919.3217684886575
187,0,188,889.8577582718235
188,0,189,875.7080617577642
189,0,190,585.4998191165009
190,0,191,1005.2083988680577
191,0,192,964.1024371124602
192,0,193,929.8471641891629
193,0,194,773.530158054446
194,0,195,976.3965839659944
195,0,196,832.9952086832274
196,0,197,569.7017479708957
197,0,198,848.3522368419584
198,0,199,871.1173564707854
199,0,200,1115.7905352975129
200,0,201,719.8354835991281
201,0,202,914.5655043334389
202,0,203,530.9543746033672
203,0,204,507.1247913017294
204,0,205,728.6178040309267
205,0,206,611.4668513354993
206,0,207,1014.602806103759
207,0,208,750.692031985797
208,0,209,771.3587285017525
209,0,210,708.5609401071819
210,0,211,930.2664673307777
211,0,212,977.0923360034351
212,0,213,690.756626974124
213,0,214,944.5408572861882
214,0,215,521.2766480487289
215,0,216,858.5745650925569
216,0,217,693.1270156111434
217,0,218,816.3949281968905
218,0,219,986.2425161602864
219,1,0,9.800743597654414
220,1,2,2.4337763468519737
221,1,3,8.403925078020752
222,1,4,1.794120044083006
223,1,5,5.788837509087651
224,1,6,29.307753662163734
225,1,7,5.62025708589692
226,1,8,9.527078802635119
227,1,9,20.10107881158453
228,1,10,31.361383606727347
229,1,11,29.906588744941605
230,1,12,164.35510699337198
231,1,13,4.716292995828097
232,1,14,17.222417611388835
233,1,15,12.311691243071122
234,1,16,16.11044317702143
235,1,17,56.75875699740069
236,1,18,46.9014337271972
237,1,19,10.004274395044058
238,1,20,13.944448796591551
239,1,21,45.20907365616442
240,1,22,42.18830161464839
241,1,23,8.723559721007959
242,1,24,12.962562629424875
243,1,25,29.144791600556445
244,1,26,6.851991203187652
245,1,27,1.8019034799139173
246,1,28,3.0916287591600518
247,1,29,3.156841565006429
248,1,30,11.489910895125623
249,1,31,10.274332623819234
250,1,32,15.689899557641485
251,1,33,0.38564730647650464
252,1,34,2.4135820531893577
253,1,35,22.699722320375166
254,1,36,13.998897898634349
255,1,37,3.0821085094564387
256,1,38,4.230806144262346
257,1,39,12.407851113104506
258,1,40,14.116915730230787
259,1,41,23.67804984513073
260,1,42,26.84824408918648
261,1,43,58.79082844897893
262,1,44,10.690973061097742
263,1,45,1.7342058187845575
264,1,46,16.847194169413918
265,1,47,3.1271702016046525
266,1,48,28.665243211471733
267,1,49,25.068528835860196
268,1,50,7.240877655893819
269,1,51,30.48385487437279
270,1,52,0.7318562765961163
271,1,53,2.771393564110189
272,1,54,232.63670556019449
273,1,55,2.761103086805397
274,1,56,220.7651662331882
275,1,57,295.6454687958051
276,1,58,210.17517987130594
277,1,59,204.92140071350426
278,1,60,26.33770150293502
279,1,61,177.45693721289965
280,1,62,335.18653688366385
281,1,63,205.47536162155365
282,1,64,59.153302171344535
283,1,65,211.38408478499872
284,1,66,216.50868578378092
285,1,67,148.21794650962877
286,1,68,250.67160646504587
287,1,69,144.0485494098317
288,1,70,69.33350409657304
289,1,71,75.65629979710236
290,1,72,224.60823288903984
291,1,73,61.8657810701682
292,1,74,91.52071622222718
293,1,75,86.9968435146299
294,1,76,232.9442521637913
295,1,77,276.8534993621951
296,1,78,119.44018640698476
297,1,79,122.74647911069849
298,1,80,234.76020488783394
299,1,81,88.34599322088096
300,1,82,238.27554737733183
301,1,83,179.74501634535602
302,1,84,127.91867597764458
303,1,85,124.14710953745421
304,1,86,184.55541447969625
305,1,87,253.03383671286733
306,1,88,163.23986476181778
307,1,89,223.04910540954296
308,1,90,201.27922931774154
309,1,91,317.91806145760734
310,1,92,133.78296169799688
311,1,93,387.3917775201013
312,1,94,265.550908555239
313,1,95,263.2704761856261
314,1,96,189.81417274720678
315,1,97,167.70343961028868
316,1,98,236.43812060369544
317,1,99,356.46540761463996
318,1,100,187.8831287900205
319,1,101,300.6801814959786
320,1,102,304.5732471875332
321,1,103,302.39856639060497
322,1,104,207.4958566478838
323,1,105,213.08252207424647
324,1,106,268.1654763393089
325,1,107,229.7440087245515
326,1,108,215.19620188724247
327,1,109,296.8570298164148
328,1,110,134.51595638958588
329,1,111,260.38218285940366
330,1,112,339.42164185249567
331,1,113,242.0083959853323
332,1,114,464.8996297334987
333,1,115,194.2219465314772
334,1,116,177.06416785528364
335,1,117,201.55952199549176
336,1,118,271.53114719957375
337,1,119,477.87452046891553
338,1,120,437.1722258097064
339,1,121,264.7425196851845
340,1,122,202.33491916056917
341,1,123,239.2860919662837
342,1,124,283.70431915545566
343,1,125,326.3384288425018
344,1,126,217.8227588162806
345,1,127,318.3579230286142
346,1,128,452.80703659185957
347,1,129,310.45790145291556
348,1,130,99.19266851057864
349,1,131,221.45040218802646
350,1,132,91.64282705154177
351,1,133,266.08942330842547
352,1,134,248.71751164545438
353,1,135,218.0452190350868
354,1,136,132.28784812698044
355,1,137,688.3628924033953
356,1,138,859.040519003523
357,1,139,678.8505710192879
358,1,140,830.4809160223159
359,1,141,485.1043579323103
360,1,142,427.74811878330195
361,1,143,347.33785018558626
362,1,144,565.671129997598
363,1,145,834.9639961257815
364,1,146,600.5970047147023
365,1,147,555.9844262064703
366,1,148,460.49140582281944
367,1,149,588.8546232453923
368,1,150,541.3148820809263
369,1,151,360.6191257096807
370,1,152,513.0190651240326
371,1,153,471.64158177217746
372,1,154,391.49250900163383
373,1,155,705.4722629271494
374,1,156,582.9095846966208
375,1,157,404.47961027213165
376,1,158,618.3201010414388
377,1,159,671.6384935236231
378,1,160,508.4261193176217
379,1,161,484.2825627570118
380,1,162,641.2525430163505
381,1,163,948.6754710664071
382,1,164,316.38580339011065
383,1,165,557.7679726870751
384,1,166,561.8162172184927
385,1,167,689.4659821581923
386,1,168,714.1572898496088
387,1,169,505.63636914829596
388,1,170,593.4266796608478
389,1,171,597.8188632036529
390,1,172,589.430377267959
391,1,173,622.297010972176
392,1,174,883.7824079112111
393,1,175,769.7082081077214
394,1,176,498.24940227507614
395,1,177,943.3754790818982
396,1,178,942.2986682043149
397,1,179,1326.0573762513773
398,1,180,851.8953090290719
399,1,181,1492.8905384589607
400,1,182,979.4746116043796
401,1,183,779.1167669343507
402,1,184,1044.390283757648
403,1,185,1271.8630590561795
404,1,186,986.8206730470824
405,1,187,1104.4540463666553
406,1,188,1076.0821616545513
407,1,189,1059.8804063749549
408,1,190,736.7628437420418
409,1,191,1199.250319749637
410,1,192,1155.766973200119
411,1,193,1123.182399512497
412,1,194,947.1980796194364
413,1,195,1170.410720489907
414,1,196,1014.3611248293319
415,1,197,719.1790764649744
416,1,198,1028.5184605058275
417,1,199,1058.0573430356194
418,1,200,1321.4516874245853
419,1,201,884.785510675847
420,1,202,1098.6730457200292
421,1,203,676.6982608182088
422,1,204,650.3781378025833
423,1,205,899.1739597910175
424,1,206,766.968022274084
425,1,207,1213.1509487301573
