item,0,1,t
0,-1.4184497385204005,0.4300967050301271,0
1,-1.1554289373591122,0.2669994035912169,0
2,-1.2505182353470479,0.3535036086881715,0
3,-1.3535209505526282,0.4043206348930778,0
4,-1.142716178863387,0.2705786955531903,0
5,-1.1116356603608988,0.27025159203189913,0
6,-1.1623100800512773,0.27015711878249676,0
7,-1.0308638128949317,0.2600722059254443,0
8,-1.0590553321127658,0.2637716956282148,0
9,-1.1915743983895761,0.30608235662305017,0
10,-1.1327757261385274,0.3312503166993194,0
11,-1.1825064965544678,0.41447572428903956,0
12,-1.326218104106367,0.36517799678265117,0
13,-1.1306772047540894,0.2651553721229069,0
14,-1.0619388191840553,0.21233638941021682,0
15,-1.0497713619371727,0.2612816590014115,0
16,-1.165714457554446,0.26921429590019563,0
17,-1.3652315085063875,0.3950289276544947,0
18,-1.357272080339669,0.388736961752276,0
19,-1.309567894715015,0.3684294752562829,0
20,-1.1719047164082697,0.271811203464249,0
21,-1.224997605110605,0.3015355794882441,0
22,-1.1995409622842834,0.30182685988279734,0
23,-0.957106611067805,0.5330116738480166,0
24,-1.0815780666725956,0.23177875828370212,0
25,-1.3880773813913576,0.4067981798402138,0
26,-1.3591088926478272,0.3876608618855638,0
27,-1.3177242014907804,0.3660497248760707,0
28,-1.3115950145513557,0.36382300788886285,0
29,-1.0302965721112165,0.2595560756034303,0
30,-1.222651945201976,0.29907128766356983,0
31,-1.3591862966172787,0.3930646407110602,0
32,-1.3146965500850025,0.36384266248567404,0
33,-1.180364525814578,0.304528174090388,0
34,-1.4158273878104193,0.37739484981636195,0
35,-1.1630969761404726,0.276217392972263,0
36,-1.3195349494164108,0.36431824060152557,0
37,-1.1261533956314131,0.2567591976105476,0
38,-1.124869293096255,0.27883127464459023,0
39,-1.0966520125190466,0.27018938640261264,0
40,-1.0820992488683603,0.23742820801686307,0
41,-1.0429945336422781,0.25188751249422603,0
42,-1.0179773862181511,0.25757481078114425,0
43,-1.2516079689272062,0.3371475914921328,0
44,-1.1974658532911617,0.2941636234635186,0
45,-1.2005570412849371,0.3079875731037112,0
46,-1.2962334264529691,0.35357606278217074,0
47,-1.2307082361393398,0.3246906218453099,0
48,-1.353739060883444,0.38461262898198845,0
49,-1.3599454757231175,0.389972393467365,0
50,-1.0683927214263726,0.2366255023793604,0
51,-1.377468641691572,0.3984508008387996,0
52,-1.1849256783255544,0.2916653613912124,0
53,-1.0643460040728785,0.25787962880506893,0
54,-1.0392588910607303,0.245205185202016,0
55,-1.3213850483487644,0.36816192034454254,0
56,-1.3517516396476428,0.38667710311830683,0
57,-1.154350658244625,0.26966809038426265,0
58,-1.0391748784197765,0.2637369212482836,0
59,-1.2690319216147337,0.33846326012426214,0
60,-1.065248271553426,0.2298090320279878,0
61,-1.1619957289919736,0.2674594711261627,0
62,-1.3190829664696453,0.3790800698555455,0
63,-1.3515597933350088,0.3837549588032911,0
64,-1.3530039512828147,0.3875628755211305,0
65,-1.1662107594176405,0.278327428507304,0
66,-1.3535926549248807,0.3947850010898977,0
67,-1.2681337669192687,0.3400580703895651,0
68,-1.0756345071092006,0.2552751891713688,0
69,-1.012427285861796,0.2267722860489157,0
70,-1.3211033497495628,0.33090914127710924,0
71,-1.285633750802934,0.3398496997878825,0
72,-1.2853347127555024,0.3673718676346105,0
73,-1.2443521447919947,0.34658613476116334,0
74,-1.0571696931604717,0.23568249038683323,0
75,-1.0796649281809716,0.24140322986165075,0
76,-1.0579047019976524,0.24828799216483402,0
77,-1.1268918950622753,0.2659606305451002,0
78,-1.0829859946860332,0.22547631748908917,0
79,-1.2186233755026878,0.3192575770229875,0
80,-1.1735435134040917,0.31509515737458366,0
81,-1.2625139541444883,0.33170385669169844,0
82,-1.3066688283156982,0.3645100860117167,0
83,-1.0994845593262113,0.33955634496126885,0
84,-1.0658141903015579,0.22563277446946187,0
85,-1.1052381209019693,0.2736003290673883,0
86,-1.2579561706439921,0.3204909996001343,0
87,-1.3562664357135552,0.39042870703814075,0
88,-1.2421585810658506,0.3866404021396196,0
89,-1.0507705857305818,0.24214084892157495,0
90,-1.0225976950477873,0.3072641651003466,0
91,-1.3270225843325638,0.37710262772663283,0
92,-1.394116310311294,0.4093803393094909,0
93,-1.1700661597718924,0.27754918907316745,0
94,-1.3399987124383692,0.3784061819701328,0
95,-1.443304032095319,0.44389830645263767,0
96,-1.1013725609219356,0.23210577383858394,0
97,-1.2967861769923439,0.35347488981826714,0
98,-1.1957670848521447,0.29419273695123427,0
99,-1.1780694873285136,0.30034141977046713,0
100,-1.1732051861744146,0.28504292774343837,0
101,-1.3029426095482461,0.3544982725375189,0
102,-1.1205219514042188,0.268836907464518,0
103,-1.2526603151989077,0.3252744882450006,0
104,-1.3506188967450645,0.3810160064670157,0
105,-1.248754992422968,0.34146550450505214,0
106,-1.3449711088273235,0.38001898230667214,0
107,-1.0105994164725316,0.2392732959847641,0
108,-1.0225256040182276,0.2671570196291952,0
109,-1.2707502520554435,0.3533427509018133,0
110,-1.3655741672625894,0.3957233034715201,0
111,-1.293115916553809,0.3616108852120183,0
112,-1.313103246973969,0.36259398450282077,0
113,-1.0043606008983443,0.2509130794324236,0
114,-1.3150674867034136,0.38505006766669814,0
115,-1.3079172468258136,0.3542877121002897,0
116,-1.1380227404193268,0.2636930293836685,0
117,-1.3078864219162945,0.35708196270263176,0
118,-1.112052552256266,0.23968526186180286,0
119,-1.297545402115518,0.3774071346532341,0
120,-1.1675892186294041,0.2722989253906605,0
121,-1.0841253510410622,0.24080950679522614,0
122,-1.1232282144017012,0.2632074556097489,0
123,-1.11348538016365,0.32468651699336165,0
124,-1.1088243206153994,0.2566834019583358,0
125,-1.057793706275203,0.24425454951035003,0
126,-1.3451400448234443,0.3784241517211952,0
127,-1.1961341755321881,0.2980127373165678,0
128,-1.2574774451224306,0.32513670327929745,0
129,-1.210925700111256,0.3459255153186907,0
130,-1.3321528106485125,0.3789895024444448,0
131,-1.1342232723957686,0.27946557064434985,0
132,-1.1556083761926568,0.2886680063428499,0
133,-1.3720396729474778,0.40073060541335076,0
134,-1.1136014181412461,0.2542028396097087,0
135,-1.094804821626993,0.26218990363659195,0
136,-1.2681042684960873,0.3309500000789637,0
137,-1.3267979752256562,0.370116360440978,0
138,-1.2285778703406656,0.3490621946378449,0
139,-1.2422367796659057,0.3123828074225069,0
140,-1.3565244083751982,0.39796621176822694,0
141,-1.0761021723943,0.23247814370881223,0
142,-1.1724646352089063,0.271470517138929,0
143,-1.2590719596293418,0.33209065796337595,0
144,-1.1542859727400558,0.29412794167632467,0
145,-1.28404003665257,0.3459646928765649,0
146,-1.0107965890620256,0.2519526812776287,0
147,-0.9886551725745993,0.31697746359828544,0
148,-1.2226607005592594,0.3080251044738572,0
149,-1.1295766095100819,0.24819492748236435,0
150,-1.2346854126939373,0.32344832410620167,0
151,-1.2854499864190954,0.3413633796534351,0
152,-1.1894319357576335,0.27945911769624815,0
153,-1.3775221625881384,0.4004136582955552,0
154,-1.3312248713322985,0.3733113958302458,0
155,-1.1533035410133958,0.25798726234194813,0
156,-1.127499820923964,0.2865752479974931,0
157,-1.3081107695181045,0.36386269744238453,0
158,-1.2799623362782335,0.3603335426442808,0
159,-1.2637819687260727,0.366715423560449,0
160,-1.307815477298949,0.3550631197151085,0
161,-1.0646055411594386,0.22229785162149196,0
162,-1.2272206216547146,0.308466266804191,0
163,-1.0296176301930187,0.25176762958816934,0
164,-1.0144599637544611,0.25997520261344303,0
165,-1.0849360876014653,0.25487831069063355,0
166,-1.195744397808084,0.2905331246757653,0
167,-1.2531181270009648,0.323429490234236,0
168,-1.1290184702348218,0.3163112013783245,0
169,-1.2072952155324,0.2885552074331766,0
170,-1.4385117288726514,0.44518017442025587,0
171,-1.2493728768429253,0.331680260762142,0
172,-1.237438304708859,0.31602574573900116,0
0,-1.3583441973761665,0.39005668615137046,1
1,-1.1071461128851323,0.24155139425007288,1
2,-1.1941073860080664,0.3209579178844333,1
3,-1.287901954329686,0.37153480021818863,1
4,-1.0999006086730658,0.25062043357568103,1
5,-1.0915453948511045,0.27034661925406067,1
6,-1.1292433819778764,0.2549366933791464,1
7,-1.0144055288674168,0.28412062279870737,1
8,-1.0275472152794667,0.28109332946437576,1
9,-1.1536739909293883,0.2953736767070335,1
10,-1.088579133640053,0.3437956166357482,1
11,-1.0389611047143255,0.37653767800496457,1
12,-1.324290537031627,0.363772575415988,1
13,-1.0703549595981006,0.25205856402861837,1
14,-1.0539586794945566,0.21734897396558178,1
15,-1.0172547531533715,0.28091799293080405,1
16,-1.1061642641514835,0.23319818795926675,1
17,-1.3051247678438644,0.35576857621577046,1
18,-1.2881581400202027,0.34387080614252125,1
19,-1.2669102103221768,0.34658596983343015,1
20,-1.1117119942886162,0.23652182479587924,1
21,-1.1708187063769802,0.2696678941056329,1
22,-1.147712509433685,0.2755971443931978,1
23,-0.8749862619302465,0.5486683876746219,1
24,-1.0521417053331052,0.23259400453050683,1
25,-1.330657156652788,0.3696979528448745,1
26,-1.3318816943303602,0.37062061391551254,1
27,-1.301393671893296,0.3558518118915979,1
28,-1.2536880953002143,0.3278246315128363,1
29,-0.9974682578368061,0.27308972458355274,1
30,-1.174755031348536,0.26821402519958104,1
31,-1.2929892931140543,0.34884249655867644,1
32,-1.2624579035552481,0.32842252967842167,1
33,-1.1235027076860176,0.2757583574055049,1
34,-1.100304657860764,0.156269567891583,1
35,-1.10912690094896,0.24533227876654887,1
36,-1.2703816651169468,0.33448332815426124,1
37,-1.0627035931689222,0.22538570833917132,1
38,-1.0790470092526296,0.2755350652423125,1
39,-1.0334971383985327,0.22646078775411588,1
40,-1.0468798067812009,0.23216529641283606,1
41,-1.0419381058585178,0.2719398727234042,1
42,-0.9856295412303128,0.28058371435387136,1
43,-1.1799067286257514,0.2939386535057237,1
44,-1.1152526859443228,0.24359676588669152,1
45,-1.1417350591521156,0.277218334959987,1
46,-1.2530235699166854,0.33101831113374747,1
47,-1.1703046355318956,0.2902918782574443,1
48,-1.3083689662140132,0.35803257529818927,1
49,-1.3175268531851325,0.362940446465057,1
50,-1.0484342531994337,0.24213208062027114,1
51,-1.3283931100758528,0.3663715828871833,1
52,-1.1356435508243203,0.2648753741014841,1
53,-1.0338282809590604,0.2748756658575225,1
54,-1.0006015949708686,0.2620667547459585,1
55,-1.2270062768397179,0.32694326380983946,1
56,-1.2682338359806744,0.33339534784233993,1
57,-1.1150043676695538,0.25634292667281333,1
58,-1.004143831668125,0.28210648068820765,1
